#[Manufacturer]; [Hostname]; [Delta t]; [Date]; [Mode]; [File Version]
Thorlabs; PM5020_5E; 10 ms; 2026-07-15T05:11:36; CW; 1

#[Ch];[Name];[Serial];[Type];[Wavelength];[Range];[Attenuation];[Unit]
0; S425C-L; 1932731; Thermopile;1064 nm; manual; 0 dB; W
1; S120VC; 230131112; Photodiode;1064 nm; auto; 0 dB; W

#[ms]; [Ch: 1]; [Ch: 2]
      4180; 1.070539E+00 ; 6.654716E-05 
      4190; 1.069462E+00 ; 6.553444E-05 
      4200; 1.069564E+00 ; 6.459163E-05 
      4220; 1.069209E+00 ; 6.718199E-05 
      4230; 1.069811E+00 ; 6.656504E-05 
      4240; 1.070759E+00 ; 6.539873E-05 
      4250; 1.069987E+00 ; 6.464250E-05 
      4260; 1.070443E+00 ; 6.638709E-05 
      4270; 1.072131E+00 ; 6.712599E-05 
      4280; 1.070720E+00 ; 6.649694E-05 
      4290; 1.071938E+00 ; 6.540752E-05 
      4300; 1.072945E+00 ; 6.466669E-05 
      4310; 1.071519E+00 ; 6.632150E-05 
      4320; 1.073755E+00 ; 6.715101E-05 
      4330; 1.072704E+00 ; 6.642701E-05 
      4340; 1.074738E+00 ; 6.539137E-05 
      4350; 1.073091E+00 ; 6.462432E-05 
      4360; 1.073710E+00 ; 6.638941E-05 
      4380; 1.075055E+00 ; 6.642378E-05 
      4390; 1.073965E+00 ; 6.536132E-05 
      4400; 1.075738E+00 ; 6.467394E-05 
      4410; 1.073568E+00 ; 6.631454E-05 
      4420; 1.076005E+00 ; 6.718352E-05 
      4430; 1.073472E+00 ; 6.645176E-05 
      4440; 1.075550E+00 ; 6.532696E-05 
      4450; 1.073397E+00 ; 6.469093E-05 
      4460; 1.074631E+00 ; 6.637639E-05 
      4470; 1.074312E+00 ; 6.710730E-05 
      4480; 1.074582E+00 ; 6.651720E-05 
      4490; 1.074427E+00 ; 6.537091E-05 
      4510; 1.075339E+00 ; 6.637537E-05 
      4520; 1.075160E+00 ; 6.713142E-05 
